Price,Close,High,Low,Open,Volume
Ticker,CBA.AX,CBA.AX,CBA.AX,CBA.AX,CBA.AX
Date,,,,,
2020-10-13,56.83991622924805,57.888568000985266,56.64329675660622,56.99557669740051,3234295
2020-10-14,56.25823974609375,56.798951050103085,56.176315495600726,56.45486544778059,2158016
2020-10-15,56.75798797607422,57.118462192569766,55.97969819091692,56.217282901750806,2461648
2020-10-16,56.725215911865234,57.06111347072376,56.471248855454,56.52859645691524,2994507
2020-10-19,57.35604476928711,57.552664220777956,56.95460531570123,57.224960968013434,1711635
2020-10-20,56.643287658691406,57.71650966040752,56.544974812951104,57.35604172686508,3276870
2020-10-21,57.07749557495117,57.200385077672664,56.5941381147783,56.700639016913065,3012271
2020-10-22,56.798946380615234,56.90544727245867,56.25004707197582,56.53678505033826,2607989
2020-10-23,57.26593017578125,57.27412447653202,56.495828416131,57.03653975812035,2327154
2020-10-26,57.11026382446289,57.429772766174565,56.938221028958104,57.30688326926558,1509835
2020-10-27,56.32378005981445,56.83990844875701,55.9633058672974,56.61051805367143,2139783
2020-10-28,56.077999114990234,56.35654904963709,55.43079320153925,55.725719234666414,2260344
2020-10-29,55.82404327392578,56.25824748665859,55.50453427774803,55.83223757522843,2736317
2020-10-30,56.54497528076172,57.04472131250893,55.74210891037462,55.83222745711063,3779713
2020-11-02,56.42210006713867,57.10207703873155,54.10360667184288,57.08569468718365,3410760
2020-11-03,57.20038986206055,57.71651831615744,56.51221858993136,56.58594854747937,4195170
2020-11-04,56.04523468017578,57.11845667508278,55.60283625278025,56.93821958424542,2725022
2020-11-05,57.07749557495117,57.07749557495117,55.963308251003845,56.028850152511275,3856662
2020-11-06,57.175804138183594,57.5526606679519,56.741600011503145,57.34784692892004,2084788
2020-11-09,57.60182189941406,57.82302426827227,57.18400631453992,57.24135391935128,2365509
2020-11-10,59.314056396484375,59.92030327631648,58.42925959861986,58.98635318426579,6300671
2020-11-11,60.95257568359375,60.98534663495248,59.52707367679859,59.76465213591456,5151533
2020-11-12,59.86296463012695,61.116423822568606,59.699116124738175,60.95257531717983,3365097
2020-11-13,59.92030334472656,60.1496937184158,59.42055735186691,59.64175967679503,2805108
2020-11-16,61.02631378173828,61.083661391665466,60.452837682466374,60.62488051224795,350619
2020-11-17,61.76363754272461,61.820985146043704,61.11642530502626,61.15739055757704,4312323
2020-11-18,63.53322219848633,63.53322219848633,61.80459379950435,61.82097614788819,3979413
2020-11-19,64.6146469116211,64.6146469116211,63.23010390124349,63.90189278045714,4383570
2020-11-20,65.5404052734375,65.5404052734375,63.98381939810933,64.54091309295036,6969228
2020-11-23,65.21269226074219,65.5813607356152,64.94233662925248,65.36835270016097,1945889
2020-11-24,66.4907455444336,66.79386592491089,65.49944139351523,65.54860094878687,2684006
2020-11-25,67.4820327758789,68.28489913014471,67.20758311648258,67.50660942441898,3687505
2020-11-26,66.43338775634766,67.17071853758091,66.43338775634766,67.09698858466751,2020361
